id,ingredients,nutrition,ingredients_viewmore,saturated,sugar,sodium,energy,Protein
144,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2000kJ  360kJ Protein 7.0g  1.3g Fat, total 19.2g  3.5g – saturated 1.8g  0.3g Carbohydrate 67.0g  12.1g – sugars 7.3g  1.3g Sodium 509mg  92mg","Wheat Flour, Vegetable Oil (Contains Antioxidants (E304, E307b From Soy)), Dried Powdered Potatoes, Sugar, Cornflour (Maize), Malt Extract (From Barley), Salt, Cocoa Powder, Baking Powder, Yeast Extract, Tomato Powder, Food Acid (Citric Acid), Yeast, Powdered Pork (0.1%), Flavour (Natural, Hickory Smoke Flavour), Onion Powder, Garlic Powder, Spice, Food Colour (Paprika Extract). View more",1.8g,7.3g,509mg,2000kJ,7.0g
145,"Whole Grain Brown Rice (43%), White Rice (28%), Inulin, Potato Starch, Maltodextrin, Sunflower Oil (Antioxidant (319)), Soybeans, Black Soybeans, Potato Flour, Black Sesame Seeds (2%), Whole Grain Millet (1%), Sea Salt (0.7%), White Sesame Seeds","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1720kJ  Approx.431kJ Protein Approx.9.1g  Approx.2.3g Fat, total Approx.6.1g  Approx.1.5g – saturated Approx.1g  Approx.0.3g Carbohydrate Approx.76.6g  Approx.19.2g – sugars <1g  <1g Sodium Approx.318mg  Approx.80mg",null,Approx.1g,<1g,Approx.318mg,Approx.1720kJ,Approx.9.1g
146,"Rice Flour (53%), Starches, Sunflower Oil (Antioxidant (320)), Potato Flakes, Salt, Sugar, Acidity Regulators (262, Citric Acid), Flavour, Maltodextrin, Balsamic Vinegar Powder (0.5%), Whey Powder, Flavour Enhancers (621, 635), Anti-caking Agent (551).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1820kJ  455kJ Protein 4.1g  1.0g Fat, total 12.4g  3.1g – saturated 1.9g  0.5g Carbohydrate 75.2g  18.8g – sugars 3.9g  1.0g Sodium 1680mg  420mg",null,1.9g,3.9g,1680mg,1820kJ,4.1g
147,"Organic Organic Sultanas (40%), Organic Coconut Fl akes (26%), Organic Cranberries (24%), Organic Pis tachios (8%), Organic Apple Juice
Concentrate, Org anic Sunflower Oil, Salt.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1710kJ  769kJ Protein 4.4g  2g Fat, total 21.4g  9.6g – saturated 15.5g  7g Carbohydrate 46.1g  20.7g – sugars 43.2g  19.4g Sodium 390mg  136.5mg",null,15.5g,43.2g,390mg,1710kJ,4.4g
148,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2474kJ  308kJ Protein 8.2g  1g Fat, total 42.7g  5.3g – saturated 14.1g  1.8g Carbohydrate 44.4g  5.6g – sugars 39.9g  5g Sodium 60mg  8mg","Ingredients: Milk chocolate (30%) (sugar, cocoa butter, cocoa mass, skim milk powder, Anhydrous milkfat, Emulsifier: lecithins (soy), flavouring: vanillin), hazelnuts (28.5%), Sugar, Vegetable oil (palm*), Wheat flour, Whey powder, Fat-reduced cocoa powder, Emulsifier (lecithins) (soy), Raising agent (sodium bicarbonate), Salt, Flavouring (vanillin).
Total cocoa solids: 16% / in milk chocolate: 42%

*Sustainable and segregated certified palm oil. View more",14.1g,39.9g,60mg,2474kJ,8.2g
149,"Sugar, Wheat Glucose Syrup, Citric Acid (330), Eucalyptus Oil & Menthol.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1730kJ  432kJ Protein <1.0g  0g Fat, total 2g  0g – saturated <1.0g  0g Carbohydrate 97g  24.2g – sugars 81g  20.2g Sodium 32mg  8mg",null,<1.0g,81g,32mg,1730kJ,<1.0g
150,"Organic Dark Chocolate: Organic Cocoa Mass(Fairtrade ingredient), Organic Raw Cane Sugar(Fairtrade ingredient), Organic Cocoa Butter(Fairtrade ingredient), Emulsifier (Soy Lecithin), Organic Vanilla Extract(Fairtrade ingredient).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2410kJ  602kJ Protein 9.1g  2.3g Fat, total 42.0g  10.5g – saturated 25.0g  6.3g Carbohydrate 36.3g  9.1g – sugars 28.6g  7.2g Sodium 32mg  8mg",null,25.0g,28.6g,32mg,2410kJ,9.1g
151,"Maize (78%), Sorghum (7%), Brown Rice (7%), Buckwheat (5%), Millet (2%), Sunflower Oil, Sea Salt","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1624kJ  195kJ Protein 10.6g  1.3g Fat, total 3.4g  0.4g – saturated 0.5g  0.06g Carbohydrate 72.1g  8.7g – sugars 0.6g  0.08g Sodium 259mg  31mg",null,0.5g,0.6g,259mg,1624kJ,10.6g
152,Natural Cashew Nuts (100%),"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx. 2440kJ  Approx. 733kJ Protein Approx. 17g  Approx. 5.1g Fat, total Approx. 49.2g  Approx. 14.8g – saturated Approx. 8.4g  Approx. 2.5g Carbohydrate Approx. 16.8g  Approx. 5g – sugars Approx. 5.5g  Approx. 1.6g Sodium Approx. 11mg  Approx. 3.3mg",null,Approx. 8.4g,Approx. 5.5g,Approx. 11mg,Approx. 2440kJ,Approx. 17g
153,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2010kJ  360kJ Protein 5.4g  1.0g Fat, total 20.0g  3.6g – saturated 12.0g  2.1g Carbohydrate 68.3g  12.2g – sugars 23.3g  4.2g Sodium 428mg  77mg","Wheat, Flour, Sugar, Butter (11%) (Cream (from Milk), Salt), Vegetable Oil (Contains Antioxidants (Soy Lecithin, E307b from Soy)), Caramel Confectionery Pieces (8%) (Sugar, Cornflour (Maize), Vegetable Oil, Molasses, Maltodextrin (Maize), Vegetable Gum (E401), Mineral Salt (E516), Natural Flavour, Emulsifier (Soy Lecithin), Food Colours (Annatto, Beet Red)), Condensed Milk, Salt, Eggs, Baking Powder, Natural Flavour (Contains Wheat). View more",12.0g,23.3g,428mg,2010kJ,5.4g
154,"Full Cream Milk, Sugar, Cocoa Butter, Cocoa Mass, Milk Solids, Emulsifiers (Soy Lecithin, 476), Flavours.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2240kJ  438kJ Protein 7.5g  1.5g Fat, total 29.9g  5.8g – saturated 18.2g  3.5g Carbohydrate 59.1g  11.5g – sugars 58.6g  11.4g Sodium 87mg  17mg",null,18.2g,58.6g,87mg,2240kJ,7.5g
155,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.2160kJ  Approx.370kJ Protein Approx.6.6g  Approx.1.1g Fat, total Approx.27.4g  Approx.4.7g – saturated Approx.17.1g  Approx.2.9g Carbohydrate Approx.60.1g  Approx.10.2g – sugars Approx.50.5g  Approx.8.6g Sodium Approx.75mg  Approx.13mg","Ingredients:       Sugar, Full Cream  Milk  Powder,  Wheat  Flour, Cocoa Butter, Vegetable Fat [Emulsifier ( Soy  Lecithin), Cocoa Mass, Cocoa, Glucose Syrup, Emulsifiers ( Soy  Lecithin, 476), Yeast, Raising Agent (Sodium Bicarbonate), Salt, Flavours.       Contains Milk, Soy and Wheat.        May Contain Peanuts and Tree Nuts.       Product Contains 70% Milk Chocolate and 30% Wafer Fingers.      Milk Chocolate Contains Minimum 22% Cocoa Solids, 25% Milk Solids. View more",Approx.17.1g,Approx.50.5g,Approx.75mg,Approx.2160kJ,Approx.6.6g
156,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1610kJ  538kJ Protein 3.7g  1.2g Fat, total 7.4g  2.5g – saturated 2.4g  0.8g Carbohydrate 72.4g  24.2g – sugars 47.0g  15.7g Sodium 198mg  66mg","Fruits (Sultanas (24%), Apples (13%), Blueberries (1%), Raspberries (1%), Strawberries (0.5%)), Wheat Flour, Sugar, Margarine (Vegetable Oil, Water, Milk Solids, Salt Emulsifiers (E471, Soy Lecithin), Preservative (E202), Food Acid (Lactic Acid), Natural Flavour, Food Colour (Carotene), Vitamins (A, D)), Vegetable Fibre, Starch (Wheat), Eggs, Flavour, Food Colour (Cochineal), Salt, Baking Powder, Preservative (E220), Milk Solids, Emulsifier (Soy Lecithin). View more",2.4g,47.0g,198mg,1610kJ,3.7g
157,"Biscuits: Sugar, Wheat Four, Vegetable Oil, Starch (Wheat), Cocoa Powder, Salt, Food Colours (Caramel III, Cochineal, Allura Red AC, Sunset Yellow FCF), Emulsifier (Soy Lecithin), Food Acid (Citric Acid, Antioxidant (E307b from Soy), Baking Powder, Flavour.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2180kJ  312kJ Protein 3.0g  0.4g Fat, total 25.6g  3.7g – saturated 12.7g  1.8g Carbohydrate 68.6g  9.8g – sugars 43.4g  6.2g Sodium 55mg  8mg",null,12.7g,43.4g,55mg,2180kJ,3.0g
158,"Cocoa Mass, Raising Agent (500), Emulsifiers (Soy Lecithin, 476), Hydrolysed Milk Protein, Flavours.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1950kJ  975kJ Protein 1.5g  <1.0g Fat, total 14.8g  7.4g – saturated 9.4g  4.7g Carbohydrate 80.5g  40.2g – sugars 68.6g  34.3g Sodium 367mg  184mg",null,9.4g,68.6g,367mg,1950kJ,1.5g
159,"Salt, Almonds",null,null,null,null,null,null,null
160,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1760kJ  440kJ Protein 10.4g  2.6g Fat, total 11.3g  2.8g – saturated 1.4g  0.4g Carbohydrate 66.1g  16.5g – sugars 5.6g  1.4g Sodium 660mg  165mg","Wheat Flour, Vegetable Oils (Sunflower And/ Or Canola), Barley Malt Extract Salt, Sugar, Maltodextrin, Raising Agent (500), Onion Powder, Buttermilk Powder Milk), Whey Powder (Milk), Cream Powder (Milk), Flavours, Creme Fraiche Powder (Milk), Yeast Powder, Skim Milk Powder, Emulsifier (322), Herbs (Parsley, Chives), Food Acids (330, 297, 260, 334), Spice (Black Pepper). View more",1.4g,5.6g,660mg,1760kJ,10.4g
161,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1660kJ  Approx.499kJ Protein Approx.8.1g  Approx.2.4g Fat, total Approx.14.3g  Approx.4.3g – saturated Approx.1.9g  <1g Carbohydrate Approx.55.6g  Approx.16.7g – sugars Approx.14.4g  Approx.4.3g Sodium Approx.6mg  <5mg","Australian Organic Whole Grain Oats (49%), Organic Rice Syrup, Organic Sunflower Oil, Organic Cashews (4%), Dried Fruit (6%) (Cranberries (Cranberries, Sugar, Oil), Organic Currants (Currants, Oil)), Organic Sunflower Seeds (2.3%), Organic Sugar, Organic Honey, Organic Pepitas (1.4%), Organic Sesame Seeds, Cinnamon (Cassia), Natural Flavour, This product contains 49% Whole Grains View more",Approx.1.9g,Approx.14.4g,Approx.6mg,Approx.1660kJ,Approx.8.1g
162,"Glucose Syrup ( Wheat  Or Corn), Cane Sugar, Thickener (Dextrin Roasted Starch, Acid Treated Starch Or Starch Acetate)( Wheat ), Gelatine, Food Acid (Citric), Colour (Carminic Acid), Flavour.       Contains Wheat. May Contain Milk.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1440kJ  Approx.290kJ Protein Approx.4.2g  <1g Fat, total <1g  <1g – saturated <1g  <1g Carbohydrate Approx.80g  Approx.16g – sugars Approx.44.1g  Approx.8.8g Sodium Approx.99mg  Approx.20mg",null,<1g,Approx.44.1g,Approx.99mg,Approx.1440kJ,Approx.4.2g
163,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2090kJ  523kJ Protein 7.9g  2.0g Fat, total 24.2g  6.1g – saturated 3.9g  1.0g Carbohydrate 60.9g  15.2g – sugars 2.3g  0.6g Sodium 489mg  122mg","Wheat Flour, Vegetable Oil, Vegetables (Tomato Powder, Onion Powder, Garlic Powder), Cheese (Contains: Milk), Cornflour (Maize), Salt, Milk Solids, Yeast, Glucose, Flavour (Contains Milk), Sugar, Flavour Enhancers (E621, E635), Spice, Baking Powder, Food Acids (E262, E330, E327, E270), Food Colours (E150a, E162, E141), Yeast Extract, Antioxidants (E300, E307b from Soy, E304), Emulsifier (Soy Lecithin, E322). View more",3.9g,2.3g,489mg,2090kJ,7.9g
164,"Fruit Puree (Grape, Peach, Orange, Strawberry, Raspberry), Corn Syrup, Sugar, Gelling Agent (Acid Treated Starch), Gelatin, Reconstituted Concord Grape Juice, Acidity Regulators (Citric Acid, Sodium Citrate), Natural Flavours, Vegetable Oil, Glazing Agent (Carnauba Wax), Colour (Turmeric), Vegetable and Fruit Juices (Contains Acidity Regulator (E330))","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1360  272 Protein 3.0g  0.6g Fat, total <1g  <1g – saturated <1g  <1g Carbohydrate 75.0g  15.0g – sugars 47.0g  9.4g Sodium 15mg  <5mg",null,<1g,47.0g,15mg,1360,3.0g
165,"Wheat Glucose Syrup (Wheat Glucose, Preservative (223)), Sugar, Water, Natural Flavour (Lemon Oil), Natural Colour (Paprika Oleoresin)","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1660kJ  Approx.415kJ Protein Approx.2.1g  Approx.0.5g Fat, total Approx.0.1g  <0.1g – saturated Approx.0.1g  <0.1g Carbohydrate Approx.95.3g  Approx.23.8g – sugars Approx.70g  Approx.17.5g Sodium Approx.7mg  <5mg",null,Approx.0.1g,Approx.70g,Approx.7mg,Approx.1660kJ,Approx.2.1g
166,"Sugar, Dried Apricot (40% (Average Percentage)) Maltodextrin, Invert Syrup, Cocoa Butter, Acidity Regulator (330), Natural Colour (160c), Preservative (220), Maize Starch.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1350kJ  338kJ Protein 1.7g  0.4g Fat, total 1.1g  0.3g – saturated 0.6g  0.2g Carbohydrate 75.3g  18.8g – sugars 72.4g  18.1g Sodium 15mg  4mg",null,0.6g,72.4g,15mg,1350kJ,1.7g
167,"Sugar, Maltodextrin, Rice Starch, Thickener (Gum Arabic), Fructose, Flavourings, Anticaking Agent (Magnesium Salt of Fatty Acids), Glazing Agent (Carnauba Wax).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 167  8 Protein 0.1g  0g Fat, total 0.2g  0g – saturated 0.2g  0g Carbohydrate 97.7g  0.5g – sugars 91.4g  0.4g Sodium 4mg  0mg",null,0.2g,91.4g,4mg,167,0.1g
168,"Sugar, Compound Chocolate (23%) (Sugar, Milk Solids, Vegetable Oil, Cocoa Powder, Cocoa Mass, Emulsifiers (Soy Lecithin, E492, E476), Natural Flavour), Wheat Flour, Vegetable Oil, Desiccated Coconut, Oats, Golden Syrup, Boking Powder, Solt, Milk Solids, Emulsifier (Soy Lecithin), Flavour, Antioxidant (E307b From Soy).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2120kJ  282kJ Protein 4.5g  0.6g Fat, total 25.7g  3.4g – saturated 17.5g  2.3g Carbohydrate 62.7g  8.3g – sugars 42.2g  5.6g Sodium 552mg  73mg",null,17.5g,42.2g,552mg,2120kJ,4.5g
169,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.2090kJ  Approx.292kJ Protein Approx.6g  Approx.0.8g Fat, total Approx.21.8g  Approx.3.1g – saturated Approx.10.5g  Approx.1.5g Carbohydrate Approx.68g  Approx.9.5g – sugars Approx.31.6g  Approx.4.4g Sodium Approx.87mg  Approx.12mg","Wheat Flour, Cream Filling (25%) (Sugar, Shortening (Palm Oil, Antioxidant (307b), Milk Chocolate, Cocoa Powder, Whey Powder, Emulsifier (322 from Soy), Natural Flavours (Chocolate, Vanilla)), Sugar, Shortening (Palm Oil, Antioxidant (307b)), Wheat Starch, Cocoa Powder Invert Sugar Syrup, Natural Colour (Caramel I), Whey Powder, Emulsifiers (322 from Soy, 450), Raising Agents (503, 500), Salt View more",Approx.10.5g,Approx.31.6g,Approx.87mg,Approx.2090kJ,Approx.6g
170,"Sweetener (E420 (39%), E965 (7.5%)), Vegetable Gum (Gum Acacia), Acidity Regulator (E330), Humectant (E422), Antioxidant (E300), Natural Flavours, Sweetener (E951, E950), Colour (E163), Raspberry Fruit juice Concentrate (0.1%).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 948kJ  218kJ Protein <0.1g  <0.1g Fat, total <0.5g  <0.5g – saturated <1.0g  <1.0g Carbohydrate <1.0g  <1.0g – sugars <1.0g  <0.3g Sodium <5mg  <5mg",null,<1.0g,<1.0g,<5mg,948kJ,<0.1g
171,"Dehydrated potato, vegetable oils, wheat starch, rice flour, emulsifier (471), maltodextrin, salt, whey powder, flavour enhancers (621, 631, 627), dextrose, onion powder, sugar, flavour, non fat milk powder, sour cream powder, food acids (330, 270, 296), cultured non fat milk, sodium caseinate, yeast extract.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2170kJ  540kJ Protein 5.3g  1.3g Fat, total 30.1g  7.5g – saturated 13.2g  3.3g Carbohydrate 55.2g  13.8g – sugars 2.2g  0.6g Sodium 695mg  173mg",null,13.2g,2.2g,695mg,2170kJ,5.3g
172,"Sugar, Cocoa Butter, Vegetable Fats, Whole Milk Powder, Skim Milk Powder, Emulsifier (Soy Lecithin), Flavourings.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2670kJ  587kJ Protein 5.2g  1.1g Fat, total 50.0g  11.0g – saturated 37.0g  8.1g Carbohydrate 43.0g  9.5g – sugars 43.0g  9.5g Sodium 84mg  19mg",null,37.0g,43.0g,84mg,2670kJ,5.2g
173,"Jelly (70%) (Water, Sugar, Gelling Agents (Carrageenan, Locust Bean Gum, Xanthan Gum), Acidity Regulators (Sodium Citrates, Potassium Citrates, Calcium Lactate, Malic Acid, Citric Acid), Natural Flavour, Natural Colours (Carotenes, Paprika Extract), Antioxidant (Ascorbic Acid)), Peach (30%).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 298kJ  358kJ Protein <0.1g  <0.1g Fat, total <0.1g  <0.1g – saturated <0.1g  <0.1g Carbohydrate 17.0g  20.4g – sugars 17.0g  20.4g Sodium 38mg  45mg",null,<0.1g,17.0g,38mg,298kJ,<0.1g
174,"Wheat Flour, Vegetable Oil, Corn Starch, Cheese and Onion Flavour [Milk Solids, Salt, Maltodextrin, Sugar, Vegetable Powders, Yeast Extract, Natural Flavours, Cheese Powder (Milk), Lactic Acid (Milk), Canola Oil, Spices (Paprika, Turmeric), Herb Extract], Sugar, Maltodextrin, Baking Powder, Yeast, Salt","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.2070kJ  Approx.414kJ Protein Approx.6.3g  Approx.1.3g Fat, total Approx.22.7g  Approx.4.5g – saturated Approx.2.3g  Approx.0.5g Carbohydrate Approx.65.5g  Approx.13.1g – sugars Approx.4.9g  Approx.1g Sodium Approx.703mg  Approx.141mg",null,Approx.2.3g,Approx.4.9g,Approx.703mg,Approx.2070kJ,Approx.6.3g
175,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1840kJ  460kJ Protein 8.4g  2.1g Fat, total 19.4g  4.9g – saturated 2.2g  0.6g Carbohydrate 57.0g  14.2g – sugars 1.5g  0.4g Sodium 386mg  97mg","Wheat Flour, Sunflower Oil (Antioxidants (307b, 304)), Rice Starch, Potato Flakes, Wheat Gluten, Natural Flavour, Sugar, Cheese Powder (Milk), Raising Agents (341, 500), Yeast & Yeast Extract, Mineral Salt (Potassium Chloride), Flavour Enhancer (621), Salt, Food Acids (330, 262), Cream Powder (Milk), Vegetable Fat Powder (Milk), Maltodextrin, Onion Powder, Whey Powder (Milk), Garlic Powder, Buttermilk Powder (Milk), Whey Protein Concentrate (Milk), Natural Flavours (Milk), Natural Colours (Cochineal, Paprika Extract). View more",2.2g,1.5g,386mg,1840kJ,8.4g
176,"Each lozenge contains active ingredients: Menthol 2.5mg, Sodium Ascorbate 11.25mg (equiv to Vitamin C 10mg).
Also contains: Sugars, Milk products, Soya bean products. Each lozenge contains Sodium 13mg.",null,null,null,null,null,null,null
177,"Seeds (90%) (Sunflower Seeds, Pepitas), Pine Nuts (10%)","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.2460kJ  Approx.738kJ Protein Approx.24.7g  Approx.7.4g Fat, total Approx.52.1g  Approx.15.6g – saturated Approx.6.1g  <1.8g Carbohydrate Approx.2.7g  <1g – sugars Approx.1.9g  <1g Sodium Approx.8mg  <5mg",null,Approx.6.1g,Approx.1.9g,Approx.8mg,Approx.2460kJ,Approx.24.7g
178,null,null,null,null,null,null,null,null
179,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1660kJ  Approx.580kJ Protein Approx.7g  Approx.2.5g Fat, total Approx.12.1g  Approx.4.2g – saturated Approx.3g  Approx.1.1g Carbohydrate Approx.58.5g  Approx.20.5g – sugars Approx.20g  Approx.7g Sodium Approx.39mg  Approx.14mg","Muesli Blend: [Rolled  Oats  (30%),  Wheat  (12%), Lemon Pieces (Lemon Juice (2%), Sugar, Invert Sugar, Humectant (Glycerine), Vegetable Fibre, Gelling Agent (Pectin), Food Acid (Citric), Flavour, Colour (Turmeric)), Breakfast Cereal (Whole Grain  Wheat  (4%),  Wheat  Flour,  Wheat  Bran, Sugar, Vitamin E), Coconut (3%), Quinoa (1%),  Milk  Powder], Glucose, Yoghurt Compound [Sugar, Vegetable Fat, Yoghurt Powder (1.3%) ( Milk ), Whey Powder ( Milk ), Emulsifier ( Soy  Lecithin, 492), Food Acid (Citric)], Chicory Root Fibre, Sunflower Oil, Sugar, Humectant (Glycerine), Modified Starch (1412), Invert Sugar, Honey (0.7%), Natural Lemon Flavour, Emulsifier  (Soy  Lecithin)       Contains: Gluten (Wheat and Oats), Milk and Soy.        May Contain Other Gluten Containing Ingredients and Lupin.           Suitable for Vegetarians View more",Approx.3g,Approx.20g,Approx.39mg,Approx.1660kJ,Approx.7g
180,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.2150kJ  Approx.817kJ Protein Approx.24.1g  Approx.9.2g Fat, total Approx.30.8g  Approx.11.7g – saturated Approx.7.7g  Approx.2.9g Carbohydrate Approx.32.8g  Approx.12.5g – sugars Approx.19.5g  Approx.7.4g Sodium Approx.296mg  Approx.112mg","Roasted Nuts (39%) (Peanuts, Hazelnuts (3%), Almonds), Choc Flavoured Syrup (27%) [Glucose, Golden Syrup, Sunflower Oil, Peanut Butter (1%), Maltodextrin, Cocoa Powder, Natural Flavours, Salt, Emulsifier (Sunflower Lecithin), Humectant (Glycerine)], Dark Compound Chocolate (13%) (Sugar, Vegetable Fat, Cocoa Powder, Emulsifier (Soy Lecithin), Salt, Natural Flavour), Soy Protein Crisps (13%) (Isolated Soy Protein, Tapioca Starch, Salt), Sunflower Seeds (6%), Soy Protein Isolate View more",Approx.7.7g,Approx.19.5g,Approx.296mg,Approx.2150kJ,Approx.24.1g
181,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1760kJ  231kJ Protein 3.6g  0.5g Fat, total 11.6g  1.5g – saturated 7.6g  1.0g Carbohydrate 73.6g  9.6g – sugars 44.1g  5.8g Sodium 205mg  27mg","Biscuits: Sugar, Wheat Flour, Raspberry Flavoured Filling [Sugar, Apples, Glucose (From Wheat), Raspberries, Fruit Fibre, Gelling Agent (Pectin), Food Acids (E330, E331), Food Colours (Allura Red AC, Caramel III (From Wheat)), Flavour], Desiccated Coconut, Vegetable Oil Milk Powder, Salt, Humectant (E422), Gelatine, Baking Powder, Flavour, Emulsifier (Soy Lecithin), Food Colour (Allura Red AC). View more",7.6g,44.1g,205mg,1760kJ,3.6g
182,"Wheat Flour, Sugar, Vegetable Fat, Milk Solids, Cocoa Butter, Cocoa Mass, Invert Sugar, Salt, Emulsifiers (442, 476, Soy Lecithin), Raising Agents (503, 500), Flavours.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2160kJ  454kJ Protein 7.3g  1.5g Fat, total 25.3g  5.3g – saturated 13.5g  2.8g Carbohydrate 65.3g  13.7g – sugars 40.0g  8.4g Sodium 197mg  41mg",null,13.5g,40.0g,197mg,2160kJ,7.3g
183,"Potato Flakes (51%), Rice Flour (20%), Sunflower Oil – High Oleic, Starch (Potato, Corn), Corn Flour (4%), Acetic Acid (3%), Sodium Acetate, Citric Acid, Salt (2%), Sugar, Mineral Salt (Potassium Chloride), Natural Flavour.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1530kJ  Approx.337kJ Protein Approx.5.4g  Approx.1.2g Fat, total Approx.10.7g  Approx.2.4g – saturated Approx.1.1g  Approx.0.2g Carbohydrate Approx.61g  Approx.13.4g – sugars Approx.2.1g  Approx.0.5g Sodium Approx.850mg  Approx.187mg",null,Approx.1.1g,Approx.2.1g,Approx.850mg,Approx.1530kJ,Approx.5.4g
184,"Wheat Flour, Vegetable Oil, Cheese (Milk Solids, Salt), Sesame Seeds, Salt, Vegetable Protein Extract (from Maize), Yeast, Spices, Glucose, Baking Powder, Natural Flavour, Onion Powder, Food Colours (Turmeric, Cochineal), Emulsifiers (Soy Lecithin), Antioxidants (E300, E304, E307b from Soy).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2040kJ  510kJ Protein 10.5g  2.6g Fat, total 22.8g  5.7g – saturated 5.9g  1.8g Carbohydrate 58.3g  14.6g – sugars 0.3g  0.1g Sodium 909mg  227mg",null,5.9g,0.3g,909mg,2040kJ,10.5g
185,"Biscuits: Wheat Flour, White Choc Flavoured Coating (30%) (Sugar, Vegetable Oil, Milk Solids, Emulsifiers (E492, Soy Lecithin), Flavour), Sugar, Vegetable Oil, Coconut, Currants (2%), Skim Milk Powder, Salt, Eggs, Baking Powder, Antioxidant (E307b From Soy), Flavour (Contains Milk), Emulsifier (Soy Lecithin).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2180kJ  273kJ Protein 4.5g  0.6g Fat, total 27.8g  3.5g – saturated 20.1g  2.5g Carbohydrate 62.1g  7.8g – sugars 37.6g  4.7g Sodium 380mg  47mg",null,20.1g,37.6g,380mg,2180kJ,4.5g
186,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.2000kJ  Approx.260kJ Protein Approx.5.1g  Approx.0.7g Fat, total Approx.18.7g  Approx.2.4g – saturated Approx.11.1g  Approx.1.4g Carbohydrate Approx.71.2g  Approx.9.3g – sugars Approx.65.5g  Approx.8.5g Sodium Approx.43mg  Approx.6mg","Ingredients:    Sugar, Full Cream   Milk   Powder, Cocoa Butter, Cocoa Mass, Vegetable Fat [Emulsifier (  Soy   Lecithin)], Emulsifiers (  Soy   Lecithin, 476),   Wheat   Flour, Rice Starch, Colours (Carminic Acid, Beta Carotene, Anthocyanin, Copper Chlorophyllin, Turmeric), Flavour, Glazing Agents (903, 901), Spirulina Powder.        Contains Milk, Soy and Wheat.        Product Contains 62% Milk Chocolate and 38% Crispy Shell      Milk Chocolate Contains Minimum 22% Cocoa Solids and Minimum 25% Milk Solids View more",Approx.11.1g,Approx.65.5g,Approx.43mg,Approx.2000kJ,Approx.5.1g
187,"Peanuts, Sugar, Sunflower Oil, Potato Starch, Honey Powder (Wheat), Fructose, Salt, Tapioca Dextrin, Natural Colour (Caramel), Molasses Powder, Xanthan Gum.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2350kJ  587kJ Protein 19.0g  4.8g Fat, total 40.0g  10.0g – saturated 5.8g  1.5g Carbohydrate 31.0g  7.8g – sugars 25.0g  6.3g Sodium 551mg  138mg",null,5.8g,25.0g,551mg,2350kJ,19.0g
188,"Potato    (58%), Vegetable Oil [With Antioxidant (Ascorbic Acid)], Maltodextrin, Sea    Salt, Acid (Citric), Vinegar, Anti-Caking Agent (Silicon Dioxide)",null,null,null,null,null,null,null
